symbol,PN_36h_rep1,PN_36h_rep2,PN_36h_rep3,PN_adult_rep1,PN_adult_rep2,PN_adult_rep3
7SLRNA:CR32864,0.658139045,0.520292387,0.670218812,0.066775902,0.043373527,0.102682134
a,1.65609121,2.09468167,2.33104259,5.010903903,4.644999191,4.251608333
abd-A,0,0,0,0,0.085481031,0
Abd-B,0.771040734,1.128912832,1.944506093,1.079480821,0.315178801,0.035045714
Abl,8.219416834,7.599755736,7.255054565,7.385718702,7.40414415,7.412744326
abo,3.169331729,3.15433616,3.007557168,3.010536396,2.797333108,2.206213528
Ace,9.646553386,9.259464143,9.234111782,10.24928751,10.28135759,10.29308106
acj6,7.376991377,7.506367014,7.345095358,7.136764688,7.217641907,7.254241882
Acph-1,5.330661818,5.692648148,5.621143253,5.194749537,4.825102481,5.172500515
nAChRalpha1,5.703012711,5.574041211,5.448971679,5.60950295,5.305521233,5.310301956
mAChR-A,8.800065057,7.803619349,7.591369847,8.438560765,8.655141202,8.887918381
nAChRbeta1,11.17388006,11.51717813,11.5088795,11.9683634,11.93600281,12.02111635
nAChRalpha2,8.421162757,8.258546782,8.217090127,7.785285732,7.420943109,7.51694055
Act5C,12.77483468,12.84340426,12.83284567,11.66122598,11.71437204,11.80187228
Act42A,12.64969327,12.76065142,12.88903233,7.807879412,7.802529006,7.610126602
Act57B,0.43642859,1.421739881,0.516062327,0.488179846,0.126394328,0.069260254
Act79B,2.976789207,3.006259146,2.822609948,3.763161244,3.046828689,0.229126454
Act87E,2.684192039,2.508392052,2.968458044,0.033774261,0,0.528678517
Act88F,0.771040734,0.577388071,0,0.833223249,0,0.102682134
ade2,1.549333635,1.497654644,1.964515325,1.410378996,2.390222339,1.592790272
ade3,1.108418423,0.266214546,1.228908645,2.786176286,2.692251019,1.954920908
Adf1,8.15504723,8.331411267,8.551701332,7.857641661,7.955818168,8.036888058
Adh,0,0,0,0.889646124,0.543803643,0.102682134
adp,5.766518825,5.762785863,5.950739414,5.398869924,5.499033854,5.522740267
al,0.214831388,0,0,0,0,0
Mps1,3.636039962,3.891221739,3.791568961,3.735206963,3.703230035,3.401252694
Ald,9.569745455,9.421168957,9.494619791,12.18134299,12.06057559,12.09308474
Ama,3.100779598,3.037115418,3.430762155,1.188453103,0,0.198539073
amd,0.045601845,0.460843657,0,0,0,0
amx,4.622675574,4.78986996,5.036655448,4.403089868,4.45128889,4.390014282
Amy-d,0.089806327,0,0,0.066775902,0.126394328,0.135347252
Amy-p,0.329880465,0.430174687,0,1.013304027,1.704223059,0.970104318
AnxB9,2.353477901,1.895796724,2.545480663,2.415398548,1.845695598,2.947268856
AnxB10,6.442416909,6.399736967,6.435950337,8.108291036,8.352841825,8.324240012
CG2650,0.214831388,1.070450879,0.075540634,0.387282298,0.659827649,0.755742239
Anp,0,0.081202514,0,0,0,0.229126454
aop,5.630983301,5.574917674,5.087721198,5.118105409,5.297706356,5.258419459
RpLP0,9.650709325,9.733886451,9.801861036,8.718856086,8.759207844,8.801113753
Appl,8.313146525,7.989130528,7.928371102,8.013481772,8.049705874,8.193534746
Aprt,4.163812309,4.174037927,4.354707172,2.76119114,2.356227934,3.245389849
aret,4.665294017,4.004848104,4.26880771,4.62427785,4.691750456,4.227192475
Arl1,5.335259542,5.551954782,5.805769,4.378656641,4.001459916,4.155350391
Argk,9.273335139,9.245907674,9.302767013,11.16841862,11.05285245,11.04786033
arm,11.59757403,10.8561436,10.83753442,10.31541204,10.43031198,10.26302541
arr,4.451136902,3.612646643,4.20716272,5.034034321,3.662082293,3.498622569
Arr1,0.045601845,0,0.718149104,3.219406423,2.784608862,3.23034864
Arr2,0.503325831,0.266214546,0,4.92464732,4.902224661,4.802228445
ase,0,0,0,0.099039483,0,0
ash2,5.979746562,6.12483575,6.055897909,5.217889165,5.307746302,5.268578232
