Symbol,logFC,logCPM,PValue,FDR
Or47b,-7.173847635,6.543380385,9.29E-132,8.79E-128
Orco,-4.945973651,10.65076173,1.11E-97,5.27E-94
GstE4,-6.151112132,10.59847602,6.73E-92,2.12E-88
Or67d,-8.663786465,5.478411557,9.61E-91,2.27E-87
CG33177,-5.346152916,7.063847334,2.08E-87,3.94E-84
Obp28a,-4.471185867,11.45044273,4.79E-87,7.55E-84
CG31288,-5.366651634,6.667993866,3.33E-78,4.50E-75
Jhedup,-6.248005435,11.87608128,1.72E-71,2.03E-68
CG34342,-3.310824839,7.425681185,5.37E-69,5.65E-66
Kua,-3.547504381,7.406568334,2.12E-68,2.01E-65
Sp1,-3.88246572,8.183098665,1.83E-65,1.58E-62
OS9,-5.846529401,11.78672696,8.55E-65,6.74E-62
CR44960,-4.648823211,6.37485468,5.91E-63,3.82E-60
Gr64f,-5.091356734,5.439597882,6.02E-63,3.82E-60
CG7509,5.249902199,5.119213784,6.05E-63,3.82E-60
Or85b,-6.930491953,4.795604513,2.23E-61,1.32E-58
Or65a,-8.420721077,5.137309,1.06E-60,5.92E-58
CG40486,-5.875982426,9.71201184,4.04E-60,2.13E-57
Or56a,-8.026429069,4.737343523,1.83E-59,9.13E-57
Or7a,-6.621170256,4.703158584,6.75E-57,3.20E-54
Or65b,-7.89767706,5.23757804,5.18E-56,2.33E-53
Or67c,-9.087878155,4.022869071,3.10E-55,1.33E-52
Gr63a,-7.779788376,4.610284227,9.70E-55,3.99E-52
Cyp6a2,-2.972058907,10.04110518,6.26E-54,2.47E-51
Spn43Ab,3.973892473,7.003467562,5.72E-53,2.17E-50
CG9541,-2.78800689,8.121915067,6.30E-53,2.29E-50
Snmp1,-3.083867202,9.623817296,7.53E-53,2.64E-50
OSCP1,-3.232390913,6.859515754,1.27E-52,4.30E-50
CG42540,-3.01996999,8.174685743,3.52E-52,1.15E-49
IM14,12.24630135,3.887773399,1.59E-51,5.00E-49
Or67a,-8.019462781,4.285902912,7.65E-50,2.34E-47
GstD8,-2.950454996,7.089878858,8.47E-50,2.51E-47
Or9a,-7.126872983,5.27684032,1.31E-48,3.75E-46
Galphaf,-3.862652155,5.400502856,2.24E-47,6.23E-45
Osi8,-6.241180039,7.593283848,1.39E-46,3.76E-44
Or43a,-7.169609004,4.812256856,5.17E-46,1.35E-43
