Symbol,log2FC,log2RPM,p-value,FDR,Current Symbol,Current FBgn
CG14585,-8.532624365,6.216609681,1.4962E-171,1.3517E-167,Ir75a,FBgn0036757
CG32704,-7.201229225,6.648987991,5.831E-154,2.6339E-150,Ir8a,FBgn0052704
CG10050,-6.10662361,6.775027225,7.2846E-144,2.1936E-140,CG10050,FBgn0037492
CG6499,-5.307973065,8.859505796,9.4764E-139,2.1402E-135,CG6499,FBgn0038309
CG10633,-6.976822076,5.735541866,3.7295E-135,6.7385E-132,Ir64a,FBgn0035604
CG14586,-6.482107909,5.965279793,1.2616E-128,1.8995E-125,"Ir75b , Ir75c","FBgn0261402 , FBgn0261401"
CG10357,-5.920456361,8.373140201,9.1426E-109,1.1799E-105,CG10357,FBgn0035453
Pbprp4,-7.013217889,8.461196977,1.7722E-104,2.0013E-101,Obp84a,FBgn0011282
ppk25,-6.970836369,5.396534232,1.04669E-97,1.05064E-94,ppk25,FBgn0053349
CG18516,-7.554518993,8.551009918,7.57891E-97,6.84679E-94,CG18516,FBgn0038350
Obp59a,-8.020472535,9.517531826,8.50104E-97,6.98167E-94,Obp59a,FBgn0034766
Cyp6a17,-5.582402852,5.602807993,4.15751E-93,3.12991E-90,Cyp6a17,FBgn0015714
Cyp4e3,5.235080561,6.861984142,1.21465E-91,8.44086E-89,Cyp4e3,FBgn0015035
CG14274,-4.584441234,5.772642917,1.28953E-89,8.32118E-87,CG14274,FBgn0032023
IM14,7.261763505,4.679994119,7.4814E-76,4.5058E-73,IM14,FBgn0067905
Cyp6g2,-4.261203755,7.398463394,1.11087E-74,6.27224E-72,Cyp6g2,FBgn0033696
a5,-7.147684046,9.642776121,9.42527E-72,5.0087E-69,a5,FBgn0011294
Cyp6a8,5.049490205,9.613834458,1.06959E-70,5.27377E-68,Cyp6a8,FBgn0013772
CG10936,-3.806249178,5.560221629,1.10916E-70,5.27377E-68,CG10936,FBgn0034253
CG13133,-6.269493169,5.687263844,4.56574E-66,2.06234E-63,CG13133,FBgn0032181
a10,-7.588615922,12.41111344,1.2142E-63,5.22338E-61,a10,FBgn0011293
Os-C,-7.644013823,12.26203223,1.52766E-63,6.27314E-61,Os-C,FBgn0010401
CG4288,-2.813669796,9.211750987,5.31291E-62,2.08682E-59,CG4288,FBgn0038799
CG32444,3.287497615,7.900293783,1.17514E-60,4.42341E-58,CG32444,FBgn0043783
Spn43Ab,3.623932977,6.533198059,4.62474E-59,1.6712E-56,Spn43Ab,FBgn0024293
CG13950,-6.608994247,5.361411424,4.87066E-59,1.69237E-56,CG13950,FBgn0031289
ea,5.333860355,4.967110913,7.31787E-58,2.44851E-55,ea,FBgn0000533
Or35a,-6.121117903,4.240012916,1.19458E-53,3.85422E-51,Or35a,FBgn0028946
smp-30,3.054305016,6.406771013,1.92647E-53,6.00128E-51,smp-30,FBgn0038257
CG14142,-6.456592196,6.071098125,5.12109E-53,1.54213E-50,CG14142,FBgn0036143
Cyp4d21,-3.955668349,7.689206367,3.30754E-52,9.63882E-50,Cyp4d21,FBgn0031925
CG13285,-4.355547704,5.478550202,1.85288E-51,5.23091E-49,CG13285,FBgn0035611
CG7385,-2.441966289,7.447932981,2.21452E-51,6.06243E-49,Ir76b,FBgn0036937
CG30259,-10.33160449,3.839475484,3.95043E-51,1.04965E-48,CG30259,FBgn0050259
CG31704,6.04453912,4.032379245,8.98311E-51,2.31867E-48,CG31704,FBgn0051704
CG10185,-6.29959225,7.717988319,1.2439E-50,3.12151E-48,CG10185,FBgn0038397
fz3,-2.607732397,6.289048006,3.20509E-50,7.82563E-48,fz3,FBgn0027343
ZnT35C,-10.24974764,3.761063301,8.913E-49,2.11895E-46,ZnT35C,FBgn0028516
CG5065,-2.767084433,6.390861411,3.67339E-48,8.50907E-46,CG5065,FBgn0034145
