GeneID,P0-A,P0-B,P0-C,P0-D,P14-A,P14-B,P14-C,P14-D,P2-A,P2-B,P2-C,P2-D,P3-A,P3-B,P3-C,P3-D,P4-A,P4-B,P4-C,P4-D,P8-A,P8-B,P8-C,P8-D
Ickin1-1,128,177,258,187,598,504,514,472,132,105,88,51,127,107,171,197,245,230,184,213,28,28,23,21
LOC105274440,2,1,3,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC105274441,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
LOC105274442,10413,10949,10254,9914,943,692,751,935,7328,6269,6222,6623,4589,4091,4066,4296,2513,2200,2515,2491,1031,999,1033,993
LOC105274443,56,41,53,54,7,7,13,1,73,21,24,6,31,12,16,18,51,34,5,13,11,30,6,13
LOC105274444,601,623,671,594,860,570,388,415,871,745,692,790,628,676,753,764,675,643,682,573,504,554,484,503
LOC105274445,616,624,545,683,309,244,356,315,748,652,726,646,751,699,732,770,665,646,721,789,479,396,487,462
LOC105274446,979,894,923,941,843,612,711,742,1206,1159,1008,1099,1120,1071,1102,1143,842,898,1025,984,645,630,671,660
LOC105274447,439,448,472,486,305,230,268,257,577,521,483,524,504,423,433,449,361,394,462,419,277,231,248,250
LOC105274448,36,57,30,37,3,5,4,5,17,17,29,26,24,16,24,20,28,28,28,37,13,5,7,3
LOC105274449,843,857,886,860,519,430,476,425,1036,917,925,1018,896,849,888,931,715,706,771,757,502,569,595,563
LOC105274450,2192,2221,2315,2362,1393,1018,1461,1443,2574,2297,2223,2200,2489,2133,2295,2419,2353,2183,2395,2303,1440,1320,1381,1428
LOC105274451,499,498,517,497,539,380,473,462,680,629,609,656,643,627,635,729,625,685,752,786,369,353,313,333
LOC105274452,408,399,387,381,182,128,187,180,257,190,244,191,244,230,242,272,229,216,239,303,169,139,142,141
LOC105274453,344,353,367,383,581,431,343,409,574,611,600,604,735,743,830,738,620,556,655,656,553,513,579,595
LOC105274454,1194,1367,1374,1382,494,375,413,419,1650,1424,1401,1413,1330,1254,1293,1414,967,896,1027,1114,530,494,537,521
