Glomerulus,Sensillar_type,Sensillum,Sensillum_neuron,Tuning receptor(s),beat-Ia,beat-Ib,beat-Ic,beat-IIa,beat-IIb,beat-IIIa,beat-IIIb ,beat-IIIc,beat-IV ,beat-Va,beat-Vc,beat-VI,beat-VII,side,side-II,side-III,side-IV,side-V,side-VI ,side-VIII
D,TSB,Ab9,Ab9A,"Or69aA, Or69aB",2,0,0,0,0,3,2,0,2,0,0,0,3,2,3,2,0,0,3,0
DA1,AT,At1,At1A,Or67d,0,0,0,0,0,2,2,2,2,0,0,0,3,3,3,3,0,3,3,0
DA2,TSB,Ab4,Ab4B,"Or56a, Or33a",3,2,1,0,0,3,2,2,2,0,1,0,3,1,3,0,0,2,3,0
DA3,AT,At2,Ai2B (At2B),Or23a,2,1,0,0,3,2,2,2,2,0,0,0,3,2,3,1,0,2,3,0
DA4l,AT,At3,Ai3C (At3C),Or43a,2,0,0,0,0,2,2,2,2,0,0,0,2,2,2,2,0,2,3,0
DA4m,AT,At3,Ai3B (At3B),Or2a,2,0,0,0,1,2,2,2,2,0,0,0,2,2,3,2,0,1,3,0
DC1,AT,At3,Ai3A (At3A),"Or19a, Or19b",3,1,0,0,0,3,2,0,2,0,0,0,3,2,3,3,0,1,3,0
DC2,TSB,Ab6,Ai1A (Ab6A),Or13a,3,1,0,0,0,3,2,0,2,0,0,0,3,2,3,2,0,1,3,0
DC3,AT,At2,Ai2A (At2A),Or83c,0,0,1,0,2,2,2,2,1,0,1,0,2,2,3,2,0,0,2,0
DL1,LB,Ab1,Ab1D,"Or10a, Gr10a",0,0,0,2,2,2,2,0,1,0,0,0,3,0,2,2,0,0,1,0
DL3,AT,At4,At4B,"Or65a, Or65b, Or65c",2,0,0,0,0,3,2,2,2,0,0,0,3,3,2,3,0,0,1,0
DL4,TSB,Ab10,Ab10B,"Or49a, Or85f",2,0,0,0,1,3,2,2,2,0,0,1,3,2,1,2,0,1,2,0
DL5,TSB,Ab4,Ab4A,Or7a,3,0,0,2,0,3,3,2,3,0,0,0,3,3,3,0,0,2,3,0
DM1,LB,Ab1,Ab1A,Or42b,2,0,0,3,2,2,3,0,0,0,0,0,3,3,2,3,0,2,0,0
DM2,LB,Ab3,Ab3A,"Or22a, Or22b",2,0,0,2,0,3,2,0,0,0,0,0,3,3,2,3,0,3,2,0
DM3,TSB,Ab5,Ab5B,"Or47a, Or33b",2,0,0,0,0,2,2,2,3,0,0,0,3,0,1,0,0,0,3,0
DM4,LB,Ab2,Ab2A,Or59b,2,0,0,0,0,2,0,2,3,0,2,0,2,3,2,0,0,3,2,0
DM5,LB,Ab2,Ab2B,"Or85a, Or33b",3,0,0,0,1,3,2,3,3,0,0,0,3,3,3,2,0,3,2,0
DM6,TSB,Ab10,Ab10A,Or67a,3,0,0,0,0,2,1,2,2,0,0,0,3,0,2,2,0,2,2,0
VA1d,AT,At4,At4C,Or88a,0,2,0,0,3,2,2,3,2,0,0,0,2,3,3,3,2,3,3,0
VA1v,AT,At4,At4A,Or47b,0,2,0,0,3,2,1,3,2,0,0,0,3,3,3,3,2,2,3,0
VA2,LB,Ab1,Ab1B,Or92a,3,0,0,2,0,3,2,2,3,0,2,0,2,1,2,3,0,3,3,0
VA3,TSB,Ab9,Ab9B,Or67b,2,0,0,0,0,3,2,2,0,0,0,0,3,1,3,2,0,0,2,0
VA4,PB,Pb3,Pb3B,Or85d,3,1,0,0,0,1,2,2,0,0,0,0,3,3,2,3,0,0,3,0
VA5,TSB,Ab6,Ai1B (Ab6B),Or49b,1,0,0,0,0,3,2,2,2,0,0,0,3,1,2,0,0,1,2,0
VA6,TSB,Ab5,Ab5A,Or82a,2,1,0,0,0,3,2,2,2,0,1,0,2,2,3,0,0,2,3,0
VA7l,PB,Pb2,Pb2B,Or46a,3,0,0,0,0,2,2,2,2,0,0,0,3,3,3,0,0,2,3,0
VA7m,UNK,UNK,UNK,UNK,1,0,0,0,0,2,2,2,1,0,0,0,3,1,2,0,0,0,2,0
VC1,PB,Pb2,Pb2A,"Or33c, Or85e",3,0,0,1,3,3,2,2,2,0,0,0,3,3,3,0,0,0,2,0
VC2,PB,Pb1,Pb1B,Or71a,3,0,0,1,2,3,2,2,2,0,0,0,2,3,2,3,0,0,2,0
VC4,TSB,Ab7,Ab7B,Or67c,1,1,0,0,0,2,2,2,3,0,0,2,3,1,3,3,0,2,2,0
VM2,TSB,Ab8,Ab8A,Or43b,3,0,0,0,0,3,2,3,2,0,0,0,2,1,3,2,0,3,3,0
VM3,TSB,Ab8,Ab8B,Or9a,3,0,0,0,0,3,2,3,3,0,0,0,3,3,3,0,0,0,3,0
VM5d,LB,Ab3,Ab3B,"Or85b?, Or98b?",0,0,0,2,3,1,1,2,1,0,0,0,3,2,3,2,0,2,3,0
VM5v,TSB,Ab7,Ab7A,Or98a,0,0,0,0,0,1,1,1,0,0,0,0,3,0,3,2,0,2,2,0
VM7d,PB,Pb1,Pb1A,Or42a,1,0,0,0,0,1,0,1,1,0,0,0,2,0,2,2,0,2,2,0
VM7v ,PB,Pb3,Pb3A,Or59c,0,0,0,0,0,2,0,1,1,0,0,0,2,1,2,2,0,2,2,0
VC3,AC,Ac3,Ac3B,Or35a,3,3,1,0,2,3,3,3,3,0,1,2,3,1,2,0,0,2,3,0
V,LB,Ab1,Ab1C,"Gr21a, Gr63a",0,1,0,1,3,1,0,3,0,0,0,0,3,2,2,3,0,3,3,0
DC4,SA,Sa3,"Sacculus, chamber III",Ir64a,0,1,0,0,3,3,3,3,3,0,0,0,3,0,0,0,0,3,3,0
DL2d,AC,Ac3,Ac3A,Ir75b,0,0,0,0,2,2,2,1,1,0,0,0,2,0,2,0,0,2,3,0
DL2v,AC,Ac3,Ac3A,Ir75c,0,0,0,0,2,2,2,1,1,0,0,0,2,0,2,0,0,0,3,0
DP1l,AC,Ac2,Ac2,Ir75a,0,0,0,0,2,2,2,2,2,0,0,0,2,0,2,0,0,0,2,0
DP1m,SA,Sa3,"Sacculus, chamber III",Ir64a,0,0,0,0,0,2,2,0,2,0,0,0,2,0,0,0,0,1,2,0
VL2a,AC,Ac4,Ac4,Ir84a,0,0,0,0,2,2,1,2,2,0,0,0,2,3,1,2,0,1,2,0
VL2p,AC,Ac1,Ac1,Ir31a,0,0,0,0,0,1,1,2,2,0,0,0,2,2,1,1,0,1,2,0
VC5,AC,Ac2,Ac2,Ir41a,2,3,0,1,2,3,1,3,1,0,2,0,2,1,2,0,0,1,3,0
VM1,AC,Ac1,Ac1,Ir92a,0,0,0,0,2,2,3,3,2,0,0,0,3,1,2,0,0,1,3,0
