Glomerulus,Lineage,Lineage_notes,Sensillum,Tuning receptor(s),beat-Ia,beat-Ib,beat-Ic,beat-IIa,beat-IIb,beat-IIIa,beat-IIIb ,beat-IIIc,beat-IV ,beat-Va,beat-Vc,beat-VI,beat-VII,side,side-II,side-III,side-IV,side-V,side-VI ,side-VIII
D,adPN,adPN,Ab9A,"Or69aA, Or69aB",0,1,0,3,1,2,2,0,2,0,0,1,2,2,2,0,0,2,2,2
DA1,lPN,"lPN, vPN",At1A,Or67d,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,2,3,3
DA2,lPN,lPN,Ab4B,"Or56a, Or33a",3,0,0,3,2,2,3,3,3,2,1,0,2,3,3,3,0,3,2,2
DA3,adPN,adPN,Ai2B (At2B),Or23a,0,0,0,2,1,3,3,0,2,2,2,0,2,2,0,3,3,2,2,2
DA4l,adPN,adPN,Ai3C (At3C),Or43a,1,3,0,3,2,3,0,0,3,3,1,1,2,3,2,3,0,3,2,2
DA4m,,vPN (?),Ai3B (At3B),Or2a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DC1,adPN,adPN,Ai3A (At3A),"Or19a, Or19b",1,0,0,0,0,2,0,0,2,0,0,0,2,2,0,2,0,2,0,2
DC2,adPN,adPN,Ai1A (Ab6A),Or13a,3,3,1,0,1,2,2,1,2,0,3,0,2,2,0,3,0,2,2,2
DC3,adPN,adPN,Ai2A (At2A),Or83c,1,0,0,0,1,2,2,2,2,2,0,2,2,3,2,2,0,2,2,3
DL1,adPN,adPN,Ab1D,"Or10a, Gr10a",2,3,0,3,3,3,2,1,2,0,0,2,3,2,3,2,2,3,2,3
DL3,lPN,lPN,At4B,"Or65a, Or65b, Or65c",3,3,2,3,3,0,0,3,3,3,3,0,0,2,3,2,0,3,2,3
DL4,adPN,adPN,Ab10B,"Or49a, Or85f",2,3,3,2,2,3,3,3,3,0,0,0,2,3,3,3,2,2,2,3
DL5,adPN,adPN,Ab4A,Or7a,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,3
DM1,lPN,lPN,Ab1A,Or42b,0,3,2,0,0,2,2,0,2,0,0,3,2,2,2,0,2,2,2,3
DM2,lPN,lPN,Ab3A,"Or22a, Or22b",2,3,2,0,0,2,2,0,2,3,3,3,2,2,2,0,2,3,2,3
DM3,adPN,"adPN, vPN",Ab5B,"Or47a, Or33b",3,2,0,2,3,2,2,2,2,2,1,1,2,2,2,1,0,2,2,0
DM4,adPN,"adPN, vPN",Ab2A,Or59b,2,0,0,2,2,2,2,2,2,2,2,0,2,2,2,2,3,2,2,2
DM5,lPN,lPN,Ab2B,"Or85a, Or33b",1,3,2,2,2,3,2,3,3,3,2,0,2,2,2,2,0,2,2,2
DM6,adPN,adPN,Ab10A,Or67a,3,0,0,3,2,2,2,2,3,3,2,1,2,2,1,2,0,2,2,0
VA1d,adPN,"adPN, vPN",At4C,Or88a,1,2,0,0,2,2,3,3,2,2,3,0,2,3,2,2,0,3,2,2
VA1v,adPN,"adPN, vPN",At4A,Or47b,1,3,0,3,3,2,2,3,3,3,3,3,2,2,2,3,0,3,3,0
VA2,adPN,adPN,Ab1B,Or92a,0,3,0,3,3,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3
VA3,adPN,adPN,Ab9B,Or67b,1,3,0,2,2,2,2,2,2,2,2,3,3,2,3,2,0,2,2,2
VA4,lPN,lPN,Pb3B,Or85d,3,2,0,0,0,3,3,3,3,2,2,3,3,3,3,0,0,2,3,3
VA5,lPN,lPN,Ai1B (Ab6B),Or49b,2,2,0,2,0,2,2,0,2,2,2,2,3,2,3,0,0,2,3,2
VA6,adPN,adPN,Ab5A,Or82a,1,0,0,3,2,3,2,3,3,3,3,0,2,3,3,3,0,2,2,3
VA7l,adPN,adPN,Pb2B,Or46a,2,2,0,0,3,3,2,1,2,2,2,1,3,3,0,0,0,2,2,2
VA7m,lPN,lPN,UNK,UNK,2,2,0,3,2,2,2,0,2,2,2,3,3,2,3,2,0,2,2,2
VC1,lPN,lPN,Pb2A,"Or33c, Or85e",1,1,0,2,2,2,2,0,2,2,2,0,2,2,3,3,0,2,2,2
VC2,lPN,lPN,Pb1B,Or71a,2,1,1,0,3,2,2,3,2,2,2,2,2,3,3,0,2,3,2,3
VC4,adPN,adPN,Ab7B,Or67c,3,0,0,2,0,2,1,2,2,2,0,0,2,1,1,1,1,2,1,1
VM2,adPN,adPN,Ab8A,Or43b,0,0,0,2,2,2,3,2,2,2,2,3,2,0,2,2,0,2,2,2
VM3,adPN,adPN,Ab8B,Or9a,0,2,0,3,2,2,3,2,2,3,1,0,2,2,2,0,2,2,2,0
VM5d,adPN,adPN,Ab3B,"Or85b?, Or98b?",0,0,0,2,2,3,2,2,2,2,0,0,1,1,1,2,0,1,0,0
VM5v,adPN,adPN,Ab7A,Or98a,0,0,0,2,2,3,2,2,2,2,0,0,1,1,1,2,0,1,0,0
VM7d,adPN,adPN,Pb1A,Or42a,0,0,0,3,3,2,2,2,2,1,2,3,2,2,2,2,0,2,2,1
VM7v ,adPN,adPN,Pb3A,Or59c,0,0,0,3,3,2,2,2,2,1,2,1,2,2,2,2,0,2,2,1
VC3,adPN,"adPN, lvPN",Ac3B,Or35a,0,0,0,2,0,2,1,2,2,1,1,0,0,2,1,1,0,2,1,0
V,,"ilPN, l2PN",Ab1C,"Gr21a, Gr63a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DC4,adPN,"adPN, vPN","Sacculus, chamber III",Ir64a,2,0,0,2,2,2,2,2,2,3,3,0,2,2,2,3,0,0,2,0
DL2d,adPN,"adPN, vPN",Ac3A,Ir75b,3,0,0,3,3,3,3,3,3,3,2,0,3,2,3,3,0,3,3,2
DL2v,adPN,adPN,Ac3A,Ir75c,3,0,0,3,3,3,1,2,3,3,2,0,3,2,3,3,0,3,2,2
DP1l,,"adPN (?), vPN",Ac2,Ir75a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DP1m,adPN,"adPN, vPN","Sacculus, chamber III",Ir64a,3,1,0,2,0,2,2,2,2,2,2,0,2,2,3,3,0,2,2,3
VL2a,adPN,"adPN, vPN",Ac4,Ir84a,3,1,0,0,2,2,3,3,2,2,3,0,2,2,0,1,0,2,2,0
VL2p,adPN,"adPN, vPN",Ac1,Ir31a,2,1,0,0,0,2,3,3,2,2,2,0,3,3,2,2,0,3,3,3
VC5,,"adPN, lvPN, l2PN (multi)",Ac2,Ir41a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VM1,lPN,lPN,Ac1,Ir92a,0,3,0,3,1,2,3,0,3,1,3,2,3,2,3,3,0,3,3,3
VM4,adPN,"adPN, lvPN",Ac4,Ir76a,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,2,2,2
VL1,vPN,"vPN, ilPN, l2PN (multi)","Ac1, Ac2, Ac4",Ir75d,2,0,0,2,2,2,1,0,1,2,2,1,0,1,0,1,0,2,1,1
