all_types	sensillar_type	sensillum	sensillum_neuron	notch
D	TSB	Ab9	Ab9A	ON
DA1	AT	At1	At1A	ON
DA4l	AT	At3	At3C	ON
DC1	AT	At3	At3A	ON
DC2	TSB	Ab6	Ab6A	ON
DC3	AT	At2	At2A	OFF
DL3	AT	At4	At4B	ON
DL4	TSB	Ab10	Ab10B	ON
DL5	TSB	Ab4	Ab4A	ON
DM1	LB	Ab1	Ab1A	ON
DM2	LB	Ab3	Ab3A	ON
DM3	TSB	Ab5	Ab5B	ON
DM4	LB	Ab2	Ab2A	ON
DM6	TSB	Ab10	Ab10A	OFF
DP1l	AC	Ac2	Ac2	OFF
V	LB	Ab1	Ab1C	ON
VA1d	AT	At4	At4C	ON
VA1v	AT	At4	At4A	OFF
VA2	LB	Ab1	Ab1B	OFF
VC3	AC	Ac3	Ac3B	ON
VL1	AC	Ac1_Ac2_Ac4	Ac1_Ac2_Ac4	ON
VL2a	AC	Ac4	Ac4	OFF
VM3	TSB	Ab8	Ab8B	
VM4	AC	Ac4	Ac4	ON
VM5d	LB	Ab3	Ab3B	OFF
VM5v	TSB	Ab7	Ab7A	OFF
