all_types	stage	cell
DA4l	24h	ORNcell_24h_ElavCD8GFP_P2_F24-0-0
DA1	24h	ORNcell_24h_ElavCD8GFP_P2_F23-0-0
VM5d/v	24h	ORNcell_24h_ElavCD8GFP_P2_F20-0-0
DL3	24h	ORNcell_24h_ElavCD8GFP_P3_B22-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P2_B17-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P2_B16-0-0
VL1	24h	ORNcell_24h_ElavCD8GFP_P7_A7-0-0
VM5d/v	24h	ORNcell_24h_ElavCD8GFP_P2_B14-0-0
DM2	24h	ORNcell_24h_ElavCD8GFP_P2_B13-0-0
VA2	24h	ORNcell_24h_ElavCD8GFP_P2_B12-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P2_B11-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P1_C21-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P3_F3-0-0
VA1v	24h	ORNcell_24h_ElavCD8GFP_P1_M17-0-0
VA2	24h	ORNcell_24h_ElavCD8GFP_P7_A18-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P4_A182-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P7_A11-0-0
DM3	24h	ORNcell_24h_ElavCD8GFP_P7_A10-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P5_A361-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P5_A289-0-0
VA1v	24h	ORNcell_24h_ElavCD8GFP_P2_L16-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P5_A364-0-0
DL5	24h	ORNcell_24h_ElavCD8GFP_P2_L10-0-0
DL4	24h	ORNcell_24h_ElavCD8GFP_P2_L12-0-0
VL1	24h	ORNcell_24h_ElavCD8GFP_P3_H2-0-0
DP1l	24h	ORNcell_24h_ElavCD8GFP_P5_A281-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P2_L19-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P3_K23-0-0
V	24h	ORNcell_24h_ElavCD8GFP_P3_K21-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P1_M11-0-0
VM4	24h	ORNcell_24h_ElavCD8GFP_P4_A83-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P6_A179-0-0
VL1	24h	ORNcell_24h_ElavCD8GFP_P7_A276-0-0
VM5d/v	24h	ORNcell_24h_ElavCD8GFP_P7_A277-0-0
VL1	24h	ORNcell_24h_ElavCD8GFP_P6_A107-0-0
VC3	24h	ORNcell_24h_ElavCD8GFP_P6_A106-0-0
DP1l	24h	ORNcell_24h_ElavCD8GFP_P2_N2-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P1_I11-0-0
DM4	24h	ORNcell_24h_ElavCD8GFP_P1_I10-0-0
VA2	24h	ORNcell_24h_ElavCD8GFP_P7_A278-0-0
VM5d/v	24h	ORNcell_24h_ElavCD8GFP_P2_C2-0-0
VL2a	24h	ORNcell_24h_ElavCD8GFP_P1_I14-0-0
DL4	24h	ORNcell_24h_ElavCD8GFP_P1_N11-0-0
VA1d	24h	ORNcell_24h_ElavCD8GFP_P1_N13-0-0
VM3	24h	ORNcell_24h_ElavCD8GFP_P2_C1-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P6_A204-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P6_A205-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P3_H8-0-0
DM4	24h	ORNcell_24h_ElavCD8GFP_P3_P8-0-0
V	24h	ORNcell_24h_ElavCD8GFP_P6_A193-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P2_C7-0-0
VC3	24h	ORNcell_24h_ElavCD8GFP_P6_A196-0-0
DA4l	24h	ORNcell_24h_ElavCD8GFP_P6_A194-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P6_A96-0-0
