batch	genotype	stage	n_counts	n_genes	PN_type	MARS	HDBSCAN	MARS_2way_matched	MARS_2way_matched_PN_type	lineage	X24h_HDBSCAN	matched_type_with_stage	mannually_matched	cell
0	VT033006-GFP	0h	7028534	5076	VA6	8	18	0	VA6	adPN	na	VA6: 0h	VA6	PN_0h_VTGAL4_P1_A12
0	VT033006-GFP	0h	6937168	3751	DA1_fru+	26	15	15	DA1_fru+	lPN	na	DA1_fru+: 0h	nan	PN_0h_VTGAL4_P1_A15
0	VT033006-GFP	0h	3927134	1320	nan	18	18	nan	nan	adPN	na	nan: 0h	nan	PN_0h_VTGAL4_P1_A18
0	VT033006-GFP	0h	2151156	2448	DC2	6	33	18	DC2	adPN	na	DC2: 0h	nan	PN_0h_VTGAL4_P1_A19
0	VT033006-GFP	0h	1619574	2016	nan	14	15	nan	nan	lPN	na	nan: 0h	nan	PN_0h_VTGAL4_P1_A1
0	VT033006-GFP	0h	5445194	2803	MARS_9	11	-1	9	MARS_9	lPN	na	MARS_9: 0h	MARS_9	PN_0h_VTGAL4_P1_A20
0	VT033006-GFP	0h	6980964	3314	DL1	17	20	8	DL1	adPN	na	DL1: 0h	DL1	PN_0h_VTGAL4_P1_A21
0	VT033006-GFP	0h	9217776	3470	DL1	17	20	8	DL1	adPN	na	DL1: 0h	DL1	PN_0h_VTGAL4_P1_A2
0	VT033006-GFP	0h	746054	1520	nan	7	18	nan	nan	adPN	na	nan: 0h	nan	PN_0h_VTGAL4_P1_A3
0	VT033006-GFP	0h	3791040	2524	nan	23	24	nan	nan	adPN	na	nan: 0h	nan	PN_0h_VTGAL4_P1_A4
0	VT033006-GFP	0h	6965128	2555	nan	23	24	nan	nan	adPN	na	nan: 0h	nan	PN_0h_VTGAL4_P1_A5
0	VT033006-GFP	0h	3156937	2448	DA1_fru-	13	15	23	DA1_fru-	lPN	na	DA1_fru-: 0h	nan	PN_0h_VTGAL4_P1_A6
0	VT033006-GFP	0h	3438642	2608	DC2	6	33	18	DC2	adPN	na	DC2: 0h	nan	PN_0h_VTGAL4_P1_A9
0	VT033006-GFP	0h	7319421	3316	DM2	20	25	11	DM2	lPN	na	DM2: 0h	nan	PN_0h_VTGAL4_P1_B10
0	VT033006-GFP	0h	8482149	3857	nan	7	18	nan	nan	adPN	na	nan: 0h	nan	PN_0h_VTGAL4_P1_B11
0	VT033006-GFP	0h	4600183	3828	MARS_9	11	37	9	MARS_9	lPN	na	MARS_9: 0h	MARS_9	PN_0h_VTGAL4_P1_B13
0	VT033006-GFP	0h	2689098	2043	D	5	-1	12	D	adPN	na	D: 0h	D	PN_0h_VTGAL4_P1_B14
0	VT033006-GFP	0h	8076524	4098	MARS_7	4	32	7	MARS_7	adPN	na	MARS_7: 0h	MARS_7	PN_0h_VTGAL4_P1_B15
0	VT033006-GFP	0h	149740	1290	nan	18	-1	nan	nan	lPN	na	nan: 0h	nan	PN_0h_VTGAL4_P1_B17
0	VT033006-GFP	0h	526476	1641	nan	12	15	nan	nan	lPN	na	nan: 0h	nan	PN_0h_VTGAL4_P1_B18
0	VT033006-GFP	0h	1861489	1384	nan	18	15	nan	nan	lPN	na	nan: 0h	nan	PN_0h_VTGAL4_P1_B1
0	VT033006-GFP	0h	5091494	2458	VA1d	22	24	10	VA1d	adPN	na	VA1d: 0h	nan	PN_0h_VTGAL4_P1_B20
0	VT033006-GFP	0h	624388	1738	nan	NaN	24	nan	nan	adPN	na	nan: 0h	nan	PN_0h_VTGAL4_P1_B23
