Chromosome,GeneID,TandemID,Rank
1,Or5-R2,70,1
1,Or5-Q1,70,2
1,Or5-Orco,72,3
1,Or5-Q2,72,4
1,Or5-9E1,73,5
1,Or5-D1,75,6
1,Or5-D2,76,7
1,Or5-W1,77,8
1,Or5-9E4,79,9
1,Or5-9E5,79,10
1,Or5-9Efrag1,79,11
1,Or5-9E6,79,12
1,Or5-9E7,79,13
1,Or5-9E8,79,14
1,Or5-9E9,79,15
1,Or5-9E10,79,16
1,Or5-9E11,79,17
1,Or5-9E12,79,18
1,Or5-9E13,79,19
1,Or5-9E14,79,20
1,Or5-H1,80,21
1,Or5-X1,80,22
1,Or5-H2,80,23
1,Or5-H3,80,24
1,Or5-9E15,81,25
1,Or5-9E16,81,26
1,Or5-9E17,82,27
1,Or5-9E18,82,28
1,Or5-9E19,82,29
2,Or5-9E20,56,30
2,Or5-9E21,56,31
2,Or5-9E22,56,32
2,Or5-9E23,56,33
2,Or5-M1,57,34
2,Or5-M2,57,35
2,Or5-N1,57,36
2,Or5-N2,57,37
2,Or5-Y1,57,38
2,Or5-P1,57,39
2,Or5-P2,57,40
2,Or5-O1,57,41
2,Or5-P4,57,42
2,Or5-N3,57,43
2,Or5-P5,57,44
2,Or5-P6,57,45
2,Or5-O3,58,46
2,Or5-P7,58,47
2,Or5-9E25,60,48
2,Or5-9E26,60,49
2,Or5-9E27,60,50
2,Or5-9E28,61,51
2,Or5-9E29,62,52
2,Or5-9E30,62,53
2,Or5-9E31,62,54
2,Or5-9E32,62,55
2,Or5-9E33,62,56
2,Or5-9E34,62,57
2,Or5-9E35,62,58
2,Or5-9E36,62,59
2,Or5-9E37,62,60
2,Or5-9E38,62,61
2,Or5-9E41,62,62
2,Or5-9E42,62,63
2,Or5-9E43,62,64
2,Or5-9E44,62,65
2,Or5-9E45,62,66
2,Or5-9E46,62,67
2,Or5-9E47,62,68
2,Or5-9E48,62,69
2,Or5-9E49,62,70
2,Or5-9E50,62,71
2,Or5-9E51,62,72
2,Or5-9E52,63,73
2,Or5-9E54,63,74
2,Or5-9E55,63,75
2,Or5-9E56,63,76
2,Or5-9E57,63,77
2,Or5-9E58,63,78
2,Or5-9E59,63,79
2,Or5-9E60,63,80
2,Or5-9E61,63,81
2,Or5-9E64,64,82
2,Or5-9E65,64,83
2,Or5-9E66,64,84
2,Or5-9E67,64,85
2,Or5-9E68,64,86
2,Or5-9E69,64,87
2,Or5-9E70,64,88
2,Or5-9E71,64,89
2,Or5-9E73,64,90
2,Or5-9E74,64,91
2,Or5-9E75,64,92
2,Or5-9E77,66,93
2,Or5-9E78,67,94
2,Or5-9E79,67,95
2,Or5-9E80,67,96
2,Or5-9E81,67,97
2,Or5-9E82,67,98
2,Or5-9E83,67,99
2,Or5-9E84,67,100
2,Or5-9E85,67,101
2,Or5-9E86,67,102
2,Or5-9E87,67,103
3,Or5-XA1,49,104
3,Or5-9E88,50,105
3,Or5-9E89,51,106
3,Or5-9E90,51,107
3,Or5-9E91,51,108
3,Or5-9E92,51,109
3,Or5-9E93,51,110
3,Or5-9E94,51,111
3,Or5-9E95,51,112
3,Or5-9E96,51,113
3,Or5-9E97,51,114
3,Or5-9E98,51,115
3,Or5-9E99,51,116
3,Or5-9E100,51,117
3,Or5-9E101,51,118
3,Or5-9E102,51,119
3,Or5-9E103,51,120
3,Or5-9E104,51,121
3,Or5-U1,52,122
3,Or5-U2,52,123
3,Or5-Q3,53,124
3,Or5-V1,54,125
3,Or5-V3,54,126
3,Or5-V4,54,127
3,Or5-V5,54,128
3,Or5-V6,54,129
3,Or5-V7,54,130
3,Or5-V8,54,131
3,Or5-V9,54,132
3,Or5-V10,54,133
3,Or5-V11,54,134
3,Or5-V13,54,135
3,Or5-V14,54,136
3,Or5-V15,54,137
3,Or5-V16,54,138
3,Or5-V17,54,139
3,Or5-V18,54,140
3,Or5-V21,54,141
3,Or5-V22,54,142
3,Or5-V23,54,143
3,Or5-V24,54,144
3,Or5-V25,54,145
3,Or5-V26,54,146
3,Or5-V27,54,147
3,Or5-V28,54,148
4,Or5-9E106,42,149
4,Or5-A1,43,150
4,Or5-A2,44,151
4,Or5-9E107,45,152
4,Or5-9E108,45,153
4,Or5-9E109,45,154
4,Or5-9E110,45,155
4,Or5-9E111,45,156
4,Or5-9E112,45,157
4,Or5-9E113,45,158
4,Or5-9E114,45,159
4,Or5-9E115,45,160
4,Or5-9E116,45,161
4,Or5-9E117,45,162
4,Or5-9E118,45,163
4,Or5-9E119,45,164
4,Or5-9E120,45,165
4,Or5-9E121,45,166
4,Or5-9E122,45,167
4,Or5-9E124,45,168
4,Or5-9E125,45,169
4,Or5-9E126,45,170
4,Or5-9E127,45,171
4,Or5-9E128,45,172
4,Or5-9E129,45,173
4,Or5-9E131,46,174
4,Or5-9E132,46,175
4,Or5-9E133,46,176
4,Or5-9E134,46,177
4,Or5-9E135CTE,46,178
4,Or5-A3,47,179
4,Or5-A4,47,180
4,Or5-A5,47,181
4,Or5-A6,47,182
4,Or5-A7,47,183
4,Or5-9E136,48,184
4,Or5-9E137,48,185
4,Or5-9E138,48,186
4,Or5-9E139,48,187
4,Or5-9E140,48,188
4,Or5-9E141,48,189
4,Or5-9E148,48,190
4,Or5-9E150,48,191
4,Or5-9E151,48,192
5,Or5-U3,41,193
6,Or5-B1,22,194
6,Or5-9E152,23,195
6,Or5-C1,24,196
6,Or5-9E154,26,197
6,Or5-9E155,27,198
6,Or5-G1,28,199
6,Or5-9E156,29,200
6,Or5-J1,30,201
6,Or5-9E157,31,202
6,Or5-9E158,32,203
6,Or5-9E159,32,204
6,Or5-9E160,32,205
6,Or5-9E161,32,206
6,Or5-9E162,32,207
6,Or5-9E164,32,208
6,Or5-9E165,32,209
6,Or5-9E166,33,210
6,Or5-9E167,33,211
6,Or5-9E168,33,212
6,Or5-9E169,34,213
6,Or5-9E170,34,214
6,Or5-9E171,34,215
6,Or5-9E172,34,216
6,Or5-9E173,34,217
6,Or5-9E174,34,218
6,Or5-9E175,34,219
6,Or5-9E176,34,220
6,Or5-9E177,34,221
6,Or5-9E179,34,222
6,Or5-9E180,34,223
6,Or5-9E181,34,224
6,Or5-9E182,34,225
6,Or5-9E184,35,226
6,Or5-9E185,35,227
6,Or5-9E186,35,228
6,Or5-9E188,35,229
6,Or5-9E189,35,230
6,Or5-9E190,35,231
6,Or5-9E191,35,232
6,Or5-9E192,35,233
6,Or5-9E193,35,234
6,Or5-9E194,35,235
6,Or5-9E195,35,236
6,Or5-9E196,35,237
6,Or5-9E197,35,238
6,Or5-9E198,36,239
6,Or5-9E200,36,240
6,Or5-9E201,36,241
6,Or5-9E202,37,242
6,Or5-9E203,37,243
6,Or5-9E204,37,244
6,Or5-9E205,37,245
6,Or5-9E206,37,246
6,Or5-9E207,37,247
6,Or5-9E208,37,248
6,Or5-9E209,37,249
6,Or5-9E210,37,250
6,Or5-9E211,37,251
6,Or5-9E212,37,252
6,Or5-9E213,37,253
6,Or5-9E214,37,254
6,Or5-9E215,37,255
6,Or5-9E216,37,256
6,Or5-9E217,37,257
6,Or5-9E218,37,258
6,Or5-9E219,37,259
6,Or5-9E220,38,260
6,Or5-9E221,38,261
6,Or5-9E222,38,262
6,Or5-9E223,38,263
6,Or5-9Efrag2,38,264
6,Or5-9E224,38,265
6,Or5-9E225,38,266
6,Or5-9E226,38,267
6,Or5-9E227,38,268
6,Or5-9E228,38,269
6,Or5-9E229,38,270
6,Or5-9E230,38,271
6,Or5-9E231,39,272
6,Or5-J3,40,273
7,Or5-U4,19,274
7,Or5-U5,19,275
7,Or5-U6,19,276
7,Or5-U7,19,277
7,Or5-U8,19,278
7,Or5-U9,19,279
7,Or5-U10,19,280
7,Or5-U11,19,281
7,Or5-U12,19,282
7,Or5-U13,19,283
7,Or5-U14,19,284
7,Or5-U15,19,285
7,Or5-U16,19,286
7,Or5-U17,19,287
7,Or5-U18,19,288
7,Or5-U20,19,289
7,Or5-U21,19,290
7,Or5-U22,19,291
7,Or5-U23,19,292
7,Or5-U24,19,293
7,Or5-U25,19,294
7,Or5-U27,19,295
7,Or5-U28,19,296
7,Or5-U29,19,297
7,Or5-U31,19,298
7,Or5-U32,19,299
7,Or5-U33,19,300
7,Or5-U34,19,301
7,Or5-U35,19,302
7,Or5-U36,19,303
7,Or5-U37,19,304
7,Or5-U38,19,305
7,Or5-U39,19,306
7,Or5-U40,19,307
7,Or5-U42,19,308
7,Or5-U43,19,309
7,Or5-U44,19,310
7,Or5-U45,19,311
7,Or5-U47,19,312
7,Or5-U48,19,313
7,Or5-U50,19,314
7,Or5-U51,19,315
7,Or5-U52,19,316
7,Or5-U54,19,317
7,Or5-U55,19,318
7,Or5-U56,19,319
7,Or5-U57,19,320
7,Or5-U58,19,321
7,Or5-U59,19,322
7,Or5-U61,19,323
7,Or5-U62,19,324
7,Or5-U63,19,325
7,Or5-Ufrag1,19,326
7,Or5-U64,19,327
7,Or5-U65,19,328
7,Or5-9E232,20,329
7,Or5-9E233,20,330
7,Or5-H5,21,331
8,Or5-R3,88,332
8,Or5-U67,89,333
8,Or5-E3,90,334
9,Or5-T1,85,335
9,Or5-T2,85,336
9,Or5-T3,85,337
9,Or5-E4,86,338
9,Or5-E5,86,339
9,Or5-E6,86,340
9,Or5-E7,86,341
9,Or5-E8,86,342
9,Or5-E9,86,343
9,Or5-E10,86,344
9,Or5-E11,86,345
9,Or5-E12,86,346
9,Or5-E13,86,347
9,Or5-E14,86,348
9,Or5-E15,86,349
9,Or5-E16,86,350
9,Or5-E17,86,351
9,Or5-E18,86,352
9,Or5-E19,86,353
10,Or5-9E238,12,354
10,Or5-9E239,12,355
10,Or5-9E241,13,356
10,Or5-9E242,13,357
10,Or5-9E243,13,358
10,Or5-9E244,13,359
10,Or5-9E245,13,360
10,Or5-9E246,13,361
10,Or5-9E247,13,362
10,Or5-9E248,13,363
10,Or5-9E249,13,364
